2016-11-04 19:00:00;Atlanta Hawks;92;Washington Wizards;95
2016-11-05 19:30:00;Houston Rockets;97;Atlanta Hawks;112
2016-11-05 19:00:00;Denver Nuggets;86;Detroit Pistons;103
2016-11-05 19:00:00;Chicago Bulls;94;Indiana Pacers;111
2016-11-05 20:00:00;Sacramento Kings;91;Milwaukee Bucks;117
2016-11-05 18:00:00;Minnesota Timberwolves;92;Oklahoma City Thunder;112
2016-11-05 19:00:00;Washington Wizards;86;Orlando Magic;88
2016-11-05 19:00:00;Cleveland Cavaliers;102;Philadelphia 76ers;101
2016-11-05 20:30:00;Los Angeles Clippers;116;San Antonio Spurs;92
2016-11-06 19:30:00;Denver Nuggets;123;Boston Celtics;107
2016-11-06 19:00:00;Milwaukee Bucks;75;Dallas Mavericks;86
2016-11-06 21:30:00;Phoenix Suns;108;Los Angeles Lakers;119
2016-11-06 15:30:00;Portland Trail Blazers;100;Memphis Grizzlies;94
2016-11-06 12:00:00;Utah Jazz;114;New York Knicks;109
2016-11-06 18:00:00;Sacramento Kings;96;Toronto Raptors;91
2016-11-07 20:00:00;Orlando Magic;80;Chicago Bulls;112
2016-11-07 19:00:00;Indiana Pacers;100;Charlotte Hornets;122
2016-11-07 22:30:00;New Orleans Pelicans;106;Golden State Warriors;116
2016-11-07 22:30:00;Detroit Pistons;82;Los Angeles Clippers;114
2016-11-07 20:00:00;Miami Heat;85;Oklahoma City Thunder;97
2016-11-07 19:00:00;Utah Jazz;109;Philadelphia 76ers;84
2016-11-07 19:00:00;Houston Rockets;114;Washington Wizards;106
2016-11-08 19:30:00;Minnesota Timberwolves;110;Brooklyn Nets;119
2016-11-08 19:00:00;Atlanta Hawks;110;Cleveland Cavaliers;106
2016-11-08 22:30:00;Dallas Mavericks;109;Los Angeles Lakers;97
2016-11-08 20:00:00;Denver Nuggets;107;Memphis Grizzlies;108
2016-11-08 22:00:00;Phoenix Suns;121;Portland Trail Blazers;124
2016-11-08 22:30:00;New Orleans Pelicans;94;Sacramento Kings;102
2016-11-09 19:30:00;Chicago Bulls;107;Atlanta Hawks;115
2016-11-09 19:00:00;Utah Jazz;98;Charlotte Hornets;104
2016-11-09 22:30:00;Dallas Mavericks;95;Golden State Warriors;116
2016-11-09 19:00:00;Philadelphia 76ers;115;Indiana Pacers;122
2016-11-09 22:30:00;Portland Trail Blazers;80;Los Angeles Clippers;111
2016-11-09 19:00:00;Brooklyn Nets;96;New York Knicks;110
2016-11-09 20:00:00;Toronto Raptors;112;Oklahoma City Thunder;102
2016-11-09 19:00:00;Minnesota Timberwolves;123;Orlando Magic;107
2016-11-09 21:00:00;Detroit Pistons;100;Phoenix Suns;107
2016-11-09 21:30:00;Houston Rockets;101;San Antonio Spurs;99
2016-11-09 19:00:00;Boston Celtics;93;Washington Wizards;118
2016-11-10 21:00:00;Golden State Warriors;125;Denver Nuggets;101
2016-11-10 20:00:00;Chicago Bulls;98;Miami Heat;95
2016-11-10 20:00:00;New Orleans Pelicans;112;Milwaukee Bucks;106
2016-11-10 22:30:00;Los Angeles Lakers;101;Sacramento Kings;91
2016-11-11 19:30:00;New York Knicks;87;Boston Celtics;115
2016-11-11 19:00:00;Toronto Raptors;113;Charlotte Hornets;111
2016-11-11 20:00:00;Los Angeles Clippers;110;Oklahoma City Thunder;108
2016-11-11 19:00:00;Utah Jazz;87;Orlando Magic;74
2016-11-11 19:00:00;Indiana Pacers;105;Philadelphia 76ers;109
2016-11-11 22:00:00;Sacramento Kings;120;Portland Trail Blazers;122
2016-11-11 20:30:00;Detroit Pistons;86;San Antonio Spurs;96
2016-11-11 19:00:00;Cleveland Cavaliers;105;Washington Wizards;94
2016-11-12 19:30:00;Philadelphia 76ers;96;Atlanta Hawks;117
2016-11-12 20:00:00;Washington Wizards;95;Chicago Bulls;106
2016-11-12 21:00:00;Detroit Pistons;106;Denver Nuggets;95
2016-11-12 20:00:00;San Antonio Spurs;106;Houston Rockets;100
2016-11-12 19:00:00;Boston Celtics;105;Indiana Pacers;99
2016-11-12 20:00:00;Utah Jazz;102;Miami Heat;91
2016-11-12 20:30:00;Memphis Grizzlies;96;Milwaukee Bucks;106
2016-11-12 20:00:00;Los Angeles Clippers;119;Minnesota Timberwolves;105
2016-11-12 19:00:00;Los Angeles Lakers;126;New Orleans Pelicans;99
2016-11-12 21:00:00;Brooklyn Nets;122;Phoenix Suns;104
2016-11-12 19:30:00;New York Knicks;107;Toronto Raptors;118
2016-11-13 15:30:00;Charlotte Hornets;93;Cleveland Cavaliers;100
2016-11-13 20:00:00;Phoenix Suns;120;Golden State Warriors;133
2016-11-13 19:00:00;Los Angeles Lakers;99;Minnesota Timberwolves;125
2016-11-13 19:00:00;Orlando Magic;119;Oklahoma City Thunder;117
2016-11-13 21:00:00;Denver Nuggets;105;Portland Trail Blazers;112
2016-11-14 19:30:00;Oklahoma City Thunder;88;Detroit Pistons;104
2016-11-14 20:00:00;Philadelphia 76ers;88;Houston Rockets;115
2016-11-14 19:00:00;Orlando Magic;69;Indiana Pacers;88
2016-11-14 22:30:00;Brooklyn Nets;95;Los Angeles Clippers;127
2016-11-14 20:00:00;Boston Celtics;105;New Orleans Pelicans;106
2016-11-14 19:30:00;Dallas Mavericks;77;New York Knicks;93
2016-11-14 20:30:00;Miami Heat;90;San Antonio Spurs;94
2016-11-14 21:00:00;Memphis Grizzlies;102;Utah Jazz;96
